iter	RMSE
0	4172.945251
1	3938.562202
2	3726.490675
3	3546.137303
4	3387.470615
5	3245.926396
6	3114.177163
7	3003.329982
8	2908.198752
9	2824.046538
10	2752.480619
11	2687.525683
12	2633.517321
13	2583.629064
14	2535.851929
15	2496.230205
16	2461.300743
17	2426.437742
18	2398.84179
19	2372.885278
20	2348.981322
21	2325.690739
22	2304.408251
23	2286.798238
24	2269.77694
25	2254.948598
26	2242.02267
27	2228.602869
28	2211.385651
29	2200.148749
30	2186.97539
31	2176.262241
32	2166.3565
33	2157.75373
34	2150.128302
35	2142.168889
36	2134.655083
37	2126.103578
38	2119.007411
39	2112.152724
40	2106.740703
41	2098.71691
42	2093.232651
43	2086.442479
44	2081.697748
45	2075.975223
46	2070.80803
47	2065.47636
48	2060.778759
49	2053.866359
50	2049.609766
51	2045.742363
52	2039.571045
53	2036.663679
54	2031.028132
55	2026.7747
56	2022.16335
57	2017.749413
58	2015.378078
59	2010.495654
60	2006.764311
61	2003.952127
62	2000.827499
63	1998.540991
64	1996.073025
65	1993.586523
66	1989.749358
67	1986.347225
68	1984.041373
69	1981.082945
70	1978.786248
71	1976.649411
72	1974.403259
73	1972.128383
74	1969.956528
75	1967.314335
76	1964.350661
77	1962.440498
78	1959.665948
79	1957.277532
80	1954.860541
81	1952.908671
82	1950.053793
83	1948.827372
84	1946.353979
85	1943.891585
86	1941.284177
87	1939.65968
88	1938.47632
89	1935.630995
90	1933.900742
91	1932.391082
92	1930.772768
93	1929.715357
94	1927.169837
95	1925.232713
96	1923.449325
97	1921.879636
98	1920.542999
99	1918.066277
100	1916.633857
101	1914.732349
102	1913.239884
103	1911.646841
104	1909.746149
105	1907.546235
106	1906.105023
107	1905.29777
108	1904.342881
109	1903.424845
110	1901.594994
111	1899.946475
112	1898.838505
113	1897.39298
114	1896.246006
115	1895.48893
116	1894.590285
117	1893.364147
118	1892.090156
119	1891.078713
120	1889.529304
121	1887.475754
122	1886.633005
123	1885.803869
124	1884.993669
125	1883.809599
126	1882.804235
127	1881.266883
128	1880.469318
129	1879.494191
130	1878.153546
131	1876.707321
132	1875.901693
133	1874.493031
134	1873.351213
135	1872.332921
136	1871.309957
137	1870.129611
138	1868.923842
139	1867.764402
140	1867.008003
141	1866.359
142	1865.740785
143	1864.382261
144	1863.375257
145	1862.399977
146	1861.298271
147	1860.302357
148	1859.539448
149	1858.959441
150	1858.078482
151	1857.21108
152	1855.859111
153	1854.661279
154	1853.888853
155	1853.391105
156	1852.706806
157	1852.069959
158	1850.758268
159	1849.709131
160	1848.830129
161	1847.93486
162	1846.918724
163	1846.544222
164	1845.732185
165	1845.175733
166	1844.090666
167	1843.496739
168	1842.65045
169	1841.971651
170	1841.234999
171	1840.208339
172	1839.648628
173	1838.791762
174	1837.886251
175	1837.029943
176	1836.502637
177	1835.403682
178	1835.05735
179	1834.363988
180	1833.664632
181	1832.833304
182	1832.5109
183	1831.554241
184	1830.934225
185	1830.508775
186	1830.119216
187	1829.219776
188	1828.297823
189	1827.587954
190	1827.012169
191	1826.66335
192	1826.023566
193	1825.248606
194	1824.552361
195	1823.704662
196	1823.22888
197	1822.651287
198	1822.178293
199	1821.751408
200	1821.003429
201	1820.367127
202	1819.775579
203	1819.474444
204	1818.946586
205	1818.522387
206	1817.820453
207	1817.177004
208	1816.768131
209	1816.070317
210	1815.51924
211	1815.140674
212	1814.598708
213	1813.808846
214	1813.370447
215	1812.903567
216	1812.428733
217	1811.847153
218	1811.249618
219	1810.657765
220	1810.010582
221	1809.564445
222	1809.111792
223	1808.526263
224	1807.795015
225	1807.434711
226	1807.086226
227	1806.536398
228	1805.929836
229	1805.499507
230	1804.778003
231	1804.394148
232	1803.839409
233	1803.525078
234	1802.967085
235	1802.605703
236	1802.296952
237	1801.786959
238	1801.292365
239	1800.986268
240	1800.188664
241	1799.505286
242	1799.1794
243	1798.778037
244	1798.381583
245	1797.883372
246	1797.35768
247	1796.953776
248	1796.567235
249	1796.070556
250	1795.685314
251	1795.086431
252	1794.486379
253	1794.220426
254	1793.747751
255	1793.129309
256	1792.607019
257	1792.232654
258	1791.786331
259	1791.573824
260	1791.263324
261	1790.86865
262	1790.496536
263	1789.941041
264	1789.504917
265	1789.000476
266	1788.704409
267	1788.332602
268	1787.839108
269	1787.414147
270	1787.086301
271	1786.734736
272	1786.301149
273	1785.8476
274	1785.469434
275	1785.103613
276	1784.846866
277	1784.541328
278	1784.077335
279	1783.37567
280	1782.831672
281	1782.59423
282	1782.147281
283	1781.8886
284	1781.521352
285	1781.238386
286	1780.903136
287	1780.536022
288	1780.183338
289	1779.708916
290	1779.351487
291	1778.970625
292	1778.61977
293	1778.204149
294	1777.947843
295	1777.468216
296	1777.221294
297	1776.872876
298	1776.478977
299	1776.008736
300	1775.841039
301	1775.358742
302	1774.985017
303	1774.71762
304	1774.447366
305	1774.177877
306	1773.728285
307	1773.487941
308	1773.127274
309	1772.802152
310	1772.43135
311	1771.955576
312	1771.612682
313	1771.303974
314	1770.819165
315	1770.32274
316	1769.969791
317	1769.752712
318	1769.368161
319	1769.00032
320	1768.669883
321	1768.231312
322	1767.934019
323	1767.386849
324	1767.011685
325	1766.623524
326	1766.150213
327	1765.789547
328	1765.357488
329	1765.062409
330	1764.914923
331	1764.707986
332	1764.422664
333	1764.132604
334	1763.913005
335	1763.508127
336	1763.210127
337	1762.755686
338	1762.437199
339	1762.137658
340	1761.879645
341	1761.692234
342	1761.516869
343	1761.147399
344	1760.891422
345	1760.585272
346	1760.204575
347	1759.909991
348	1759.562732
349	1759.288792
350	1759.035306
351	1758.796908
352	1758.590483
353	1758.285504
354	1758.05249
355	1757.791454
356	1757.66669
357	1757.327089
358	1757.123522
359	1756.862733
360	1756.485704
361	1756.182474
362	1755.747593
363	1755.471265
364	1755.167877
