iter	Passed	Remaining
0	19	19498
1	46	23391
2	65	21687
3	81	20391
4	98	19634
5	117	19494
6	136	19394
7	152	18880
8	169	18689
9	188	18688
10	205	18459
11	220	18187
12	245	18672
13	266	18793
14	283	18639
15	298	18382
16	317	18363
17	335	18296
18	349	18024
19	368	18075
20	387	18060
21	402	17873
22	419	17816
23	437	17781
24	454	17722
25	470	17611
26	489	17637
27	505	17541
28	522	17499
29	539	17435
30	555	17366
31	572	17307
32	591	17328
33	608	17283
34	622	17165
35	639	17133
36	656	17095
37	673	17045
38	693	17083
39	712	17090
40	726	16990
41	741	16916
42	757	16861
43	773	16808
44	790	16778
45	809	16795
46	828	16790
47	843	16730
48	861	16713
49	877	16670
50	896	16673
51	914	16668
52	932	16654
53	945	16559
54	964	16566
55	980	16532
56	996	16491
57	1015	16492
58	1032	16467
59	1046	16391
60	1064	16384
61	1079	16331
62	1099	16347
63	1116	16333
64	1134	16317
65	1147	16234
66	1166	16240
67	1184	16238
68	1198	16165
69	1216	16162
70	1233	16145
71	1252	16142
72	1267	16099
73	1285	16091
74	1300	16037
75	1320	16059
76	1339	16062
77	1357	16040
78	1371	15993
79	1390	15987
80	1409	15992
81	1423	15941
82	1441	15925
83	1459	15910
84	1475	15885
85	1492	15865
86	1510	15853
87	1528	15837
88	1543	15798
89	1562	15800
90	1578	15769
91	1593	15730
92	1611	15715
93	1626	15680
94	1643	15652
95	1662	15654
96	1679	15635
97	1695	15604
98	1714	15599
99	1733	15598
100	1749	15576
101	1766	15555
102	1785	15553
103	1802	15531
104	1821	15523
105	1839	15511
106	1857	15499
107	1870	15449
108	1889	15448
109	1907	15430
110	1922	15399
111	1939	15378
112	1963	15412
113	1983	15419
114	1997	15371
115	2015	15360
116	2031	15335
117	2045	15286
118	2064	15285
119	2082	15274
120	2097	15239
121	2116	15234
122	2134	15216
123	2152	15203
124	2167	15174
125	2187	15171
126	2203	15149
127	2220	15124
128	2237	15105
129	2254	15084
130	2272	15076
131	2290	15059
132	2307	15043
133	2324	15024
134	2341	15000
135	2362	15005
136	2379	14988
137	2396	14971
138	2416	14966
139	2434	14956
140	2451	14932
141	2466	14905
142	2486	14902
143	2503	14884
144	2520	14862
145	2538	14850
146	2557	14838
147	2576	14829
148	2594	14821
149	2613	14809
150	2631	14793
151	2645	14758
152	2665	14756
153	2685	14753
154	2702	14734
155	2717	14702
156	2734	14683
157	2750	14659
158	2768	14642
159	2788	14642
160	2810	14645
161	2829	14638
162	2851	14644
163	2867	14619
164	2887	14612
165	2905	14595
166	2922	14576
167	2938	14550
168	2956	14536
169	2971	14508
170	2989	14493
171	3012	14500
172	3030	14485
173	3046	14462
174	3063	14441
175	3082	14429
176	3097	14401
177	3114	14381
178	3131	14364
179	3148	14343
180	3164	14319
181	3184	14312
182	3199	14284
183	3214	14257
184	3234	14250
185	3251	14231
186	3265	14197
187	3289	14207
188	3307	14192
189	3326	14182
190	3347	14179
191	3365	14164
192	3384	14151
193	3400	14128
194	3418	14111
195	3440	14112
196	3458	14098
197	3476	14081
198	3492	14057
199	3511	14046
200	3532	14041
201	3547	14015
202	3563	13991
203	3581	13973
204	3596	13946
205	3612	13924
206	3634	13922
207	3653	13910
208	3667	13880
209	3686	13868
210	3704	13852
211	3718	13820
212	3737	13810
213	3755	13793
214	3771	13770
215	3788	13751
216	3807	13738
217	3823	13715
218	3840	13697
219	3864	13699
220	3885	13696
221	3906	13691
222	3923	13671
223	3938	13645
224	3960	13642
225	3978	13626
226	3994	13602
227	4012	13584
228	4032	13577
229	4050	13559
230	4067	13539
231	4112	13613
232	4147	13651
233	4165	13636
234	4185	13624
235	4203	13608
236	4219	13583
237	4237	13567
238	4257	13557
239	4272	13528
240	4291	13517
241	4311	13503
242	4332	13496
243	4347	13471
244	4365	13451
245	4384	13438
246	4401	13417
247	4416	13393
248	4436	13379
249	4451	13355
250	4467	13332
251	4484	13311
252	4503	13297
253	4526	13293
254	4548	13288
255	4564	13265
256	4583	13251
257	4599	13229
258	4616	13208
259	4636	13195
260	4652	13173
261	4667	13148
262	4687	13135
263	4705	13119
264	4720	13092
265	4739	13077
266	4757	13060
267	4774	13039
268	4792	13022
269	4811	13009
270	4827	12986
271	4845	12968
272	4865	12955
273	4884	12941
274	4899	12916
275	4917	12899
276	4936	12884
277	4953	12865
278	4968	12841
279	4988	12827
280	5008	12815
281	5022	12788
282	5040	12771
283	5058	12753
284	5076	12734
285	5092	12714
286	5109	12693
287	5125	12672
288	5141	12648
289	5158	12629
290	5173	12604
291	5189	12583
292	5211	12574
293	5230	12559
294	5243	12532
295	5262	12515
296	5280	12497
297	5294	12472
298	5314	12459
299	5332	12443
300	5345	12414
301	5362	12393
302	5380	12375
303	5393	12347
304	5411	12331
305	5431	12318
306	5448	12299
307	5464	12277
308	5484	12264
309	5502	12247
310	5518	12225
311	5536	12209
312	5555	12192
313	5571	12171
314	5588	12153
315	5609	12142
316	5627	12123
317	5645	12107
318	5665	12093
319	5682	12076
320	5703	12063
321	5722	12048
322	5739	12030
323	5761	12020
324	5779	12002
325	5795	11982
326	5813	11964
327	5833	11951
328	5853	11937
329	5871	11920
330	5889	11904
331	5909	11889
332	5925	11868
333	5943	11852
334	5960	11831
335	5979	11815
336	5997	11799
337	6014	11780
338	6034	11766
339	6052	11748
340	6068	11728
341	6086	11711
342	6106	11696
343	6124	11679
344	6142	11661
345	6159	11642
346	6178	11627
347	6194	11605
348	6211	11586
349	6230	11570
350	6247	11551
351	6264	11532
352	6283	11517
353	6302	11500
354	6318	11480
355	6337	11465
356	6355	11447
357	6372	11427
358	6389	11408
359	6408	11392
360	6427	11376
361	6441	11352
362	6459	11336
363	6482	11326
364	6500	11308
365	6516	11288
366	6533	11268
367	6551	11251
368	6564	11225
369	6584	11211
370	6605	11199
371	6623	11181
372	6638	11159
373	6655	11139
374	6673	11121
375	6693	11107
376	6710	11088
377	6729	11073
378	6746	11053
379	6760	11030
380	6780	11015
381	6796	10995
382	6812	10974
383	6831	10958
384	6848	10939
385	6862	10916
386	6884	10905
387	6905	10892
388	6922	10872
389	6941	10856
390	6959	10838
391	6978	10824
392	6995	10805
393	7010	10783
394	7029	10767
395	7046	10748
396	7061	10725
397	7080	10710
398	7098	10692
399	7116	10675
400	7136	10659
401	7154	10643
402	7169	10620
403	7186	10601
404	7205	10586
405	7224	10569
406	7238	10546
407	7254	10526
408	7271	10507
409	7287	10487
410	7308	10473
411	7329	10460
412	7350	10447
413	7367	10427
414	7384	10408
415	7403	10393
416	7421	10375
417	7436	10354
418	7453	10335
419	7471	10317
420	7485	10294
421	7505	10280
422	7526	10267
423	7543	10248
424	7559	10227
425	7578	10210
426	7594	10191
427	7610	10171
428	7630	10155
429	7645	10134
430	7662	10115
431	7681	10099
432	7702	10085
433	7718	10066
434	7734	10046
435	7754	10030
436	7775	10016
437	7792	9999
438	7808	9978
439	7827	9962
440	7846	9945
441	7862	9925
442	7880	9907
443	7897	9889
444	7912	9868
445	7930	9851
446	7951	9836
447	7968	9818
448	7984	9797
449	8003	9781
450	8022	9765
451	8040	9748
452	8057	9729
453	8076	9713
454	8094	9695
455	8112	9677
456	8130	9660
457	8150	9645
458	8170	9629
459	8191	9616
460	8211	9601
461	8231	9585
462	8251	9570
463	8274	9558
