iter	Logloss
0	0.663084919
1	0.6409040915
2	0.6322746382
3	0.6199238376
4	0.614143099
5	0.6061788738
6	0.6028903681
7	0.5983409844
8	0.5961685211
9	0.5941616338
10	0.5927593949
11	0.5913909565
12	0.5904166106
13	0.5893245917
14	0.5886092319
15	0.5877923625
16	0.5869855338
17	0.5863887336
18	0.5859470615
19	0.5840899943
20	0.5836509462
21	0.5832009108
22	0.5827794039
23	0.5824249112
24	0.5818868217
25	0.5814694246
26	0.581233827
27	0.5809558019
28	0.5806703481
29	0.5796347754
30	0.5793506756
31	0.5790972491
32	0.5789022816
33	0.5786062959
34	0.5783611368
35	0.5781968906
36	0.5780438594
37	0.5778336272
38	0.5771694775
39	0.5770084904
40	0.5768294228
41	0.5766171896
42	0.5764715152
43	0.5762146499
44	0.5759760689
45	0.5758312931
46	0.5756588754
47	0.5755280823
48	0.5754207735
49	0.5749193842
50	0.5748010163
51	0.5747068515
52	0.5745976856
53	0.5744280956
54	0.5743111295
55	0.5740913718
56	0.5740124718
57	0.5738966919
58	0.5737656952
59	0.5736302772
60	0.5735782403
61	0.5730919361
62	0.5729900431
63	0.5728704769
64	0.5727735204
65	0.5726605562
66	0.5725493294
67	0.5724230176
68	0.5722871323
69	0.5722473168
70	0.5721668353
71	0.5720784457
72	0.571974372
73	0.5719147148
74	0.5717854195
75	0.5717083048
76	0.5716288776
77	0.5715073465
78	0.5713854319
79	0.5713131219
80	0.5712551661
81	0.571154651
82	0.5710286746
83	0.5709769493
84	0.5708985405
85	0.5708459046
86	0.5706973666
87	0.5705742299
88	0.5705153035
89	0.5704361519
90	0.5703596243
91	0.5702767584
92	0.570192826
93	0.5701255723
94	0.5700525794
95	0.5699262076
96	0.5697693183
97	0.5696823426
98	0.5696129801
99	0.569579503
100	0.569495367
101	0.5694146218
102	0.5693394841
103	0.5692489498
104	0.5691916051
105	0.569078569
106	0.5690231533
107	0.5689455953
108	0.5688586076
109	0.5687701102
110	0.5686953679
111	0.5686320562
112	0.5683492744
113	0.5682997297
114	0.5681921693
115	0.5681079734
116	0.5680465309
117	0.567964288
118	0.5678854479
119	0.5678048345
120	0.5676764858
121	0.5675733946
122	0.5674941951
123	0.5674251681
124	0.5673241617
125	0.5672637017
126	0.567193824
127	0.5671282238
128	0.5670500786
129	0.56693219
130	0.5668500429
131	0.5667388401
132	0.566654764
133	0.5665915601
134	0.566468711
135	0.566379962
136	0.5663046565
137	0.5661798065
138	0.5661206165
139	0.566070353
140	0.5659940051
141	0.5659314962
142	0.5658305857
143	0.5657350909
144	0.5656314726
145	0.5655672143
146	0.5655377272
147	0.5654777823
148	0.5653950841
149	0.5652664238
150	0.5651803228
151	0.56507964
152	0.5650055567
153	0.5649076656
154	0.5648431557
155	0.5647488352
156	0.5646699592
157	0.5646028612
158	0.5645096191
159	0.5644233024
160	0.5643330796
161	0.564279605
162	0.5641851167
163	0.5641220686
164	0.5640581698
165	0.5640166769
166	0.5639566243
167	0.5638835474
168	0.5638031737
169	0.5637196847
170	0.5636236148
171	0.5635411922
172	0.5634687743
173	0.5634143771
174	0.563344104
175	0.563259944
176	0.5631727886
177	0.563126527
178	0.5630609148
179	0.5629545645
180	0.5628684755
181	0.5627661991
182	0.5627273781
183	0.562633441
184	0.5625814042
185	0.562524311
186	0.5624683202
187	0.5623958544
188	0.562318584
189	0.562247544
190	0.5621994492
191	0.562143722
192	0.5620765282
193	0.5620106284
194	0.5619364133
195	0.561887971
196	0.5618188362
197	0.5617791286
198	0.5617285535
199	0.5616309619
200	0.5615962987
201	0.5615150143
202	0.5614371328
203	0.5613711492
204	0.561317327
205	0.5612426446
206	0.5611829275
207	0.5611057409
208	0.5610566516
209	0.5609424772
210	0.5608781471
211	0.56081311
212	0.5607389189
213	0.5606991514
214	0.5606478095
215	0.5605475939
216	0.5604650155
217	0.5604271651
218	0.560322073
219	0.5602607742
220	0.5601798972
221	0.5601300051
222	0.5600405133
223	0.5599856128
224	0.559910535
225	0.5598083424
226	0.5597661426
227	0.5597242783
228	0.5596706119
229	0.5596420833
230	0.5595700369
231	0.5594862124
232	0.5594254648
233	0.559376076
234	0.5592825103
235	0.5592531549
236	0.5591653046
237	0.5590905743
238	0.5590540778
239	0.5590047129
240	0.5589334573
241	0.558854761
242	0.5585925039
243	0.5585198344
244	0.5584229977
245	0.558351155
246	0.5582788929
247	0.5582395807
248	0.5581535516
249	0.5580939662
250	0.5580552891
251	0.5580239448
252	0.5579549537
253	0.5578935232
254	0.557824568
255	0.5577576139
256	0.5577388864
257	0.5576607652
258	0.5575837584
259	0.5575039717
260	0.5574262939
261	0.5573862987
262	0.5573201833
263	0.5572786065
264	0.55719743
265	0.5571441471
266	0.5570886475
267	0.5570485325
268	0.5569784751
269	0.5569267617
270	0.5568941354
271	0.5568339509
272	0.5567499946
273	0.5566914397
274	0.5566037211
275	0.55654924
276	0.5564793144
277	0.5564068726
278	0.5563520679
279	0.5563068847
280	0.5562405895
281	0.5562057944
282	0.5561378578
283	0.5560691303
284	0.5560265351
285	0.5559849704
286	0.5559431659
287	0.5558992408
288	0.5558542971
289	0.5558153444
290	0.555774151
291	0.5556801061
292	0.5556007268
293	0.5555229172
294	0.5554649973
295	0.5553855102
296	0.5552970488
297	0.5552267996
298	0.5551922083
299	0.555141741
300	0.555097085
301	0.5550589829
302	0.5549904951
303	0.5549429155
304	0.5548682331
305	0.554822259
306	0.5547442097
307	0.554714447
308	0.5546451564
309	0.5546153458
310	0.5545844927
311	0.5545432634
312	0.5544879316
313	0.5544427603
314	0.554387752
315	0.5543099663
