iter	Passed	Remaining
0	171	85672
1	214	53308
2	251	41721
3	284	35328
4	315	31235
5	345	28469
6	377	26618
7	421	25907
8	469	25617
9	499	24468
10	532	23680
11	560	22789
12	594	22285
13	637	22115
14	677	21907
15	719	21753
16	757	21508
17	795	21301
18	828	20985
19	870	20903
20	918	20954
21	958	20824
22	998	20698
23	1029	20413
24	1053	20025
25	1082	19740
26	1118	19592
27	1166	19666
28	1210	19663
29	1245	19519
30	1278	19341
31	1324	19368
32	1374	19451
33	1410	19335
34	1447	19229
35	1480	19088
36	1521	19033
37	1562	18994
38	1623	19195
39	1663	19131
40	1697	18999
41	1729	18856
42	1760	18709
43	1798	18642
44	1844	18647
45	1882	18578
46	1913	18444
47	1953	18397
48	1990	18324
49	2031	18285
50	2073	18254
51	2103	18123
52	2138	18037
53	2171	17931
54	2200	17802
55	2234	17717
56	2266	17618
57	2307	17585
58	2340	17490
59	2379	17447
60	2415	17381
61	2451	17319
62	2489	17266
63	2525	17206
64	2556	17109
65	2588	17021
66	2621	16944
67	2656	16873
68	2694	16828
69	2722	16726
70	2755	16648
71	2787	16568
72	2816	16473
73	2843	16368
74	2883	16338
75	2923	16309
76	2959	16260
77	2987	16164
78	3017	16078
79	3046	15995
80	3074	15902
81	3104	15826
82	3145	15805
83	3177	15735
84	3207	15659
85	3233	15567
86	3261	15480
87	3285	15383
88	3321	15340
89	3370	15355
90	3430	15416
91	3468	15384
92	3496	15300
93	3524	15221
94	3561	15181
95	3608	15184
96	3638	15118
97	3671	15060
98	3702	14997
99	3732	14929
100	3758	14846
101	3796	14812
102	3846	14826
103	3873	14748
104	3904	14690
105	3944	14660
106	3973	14592
107	4013	14566
108	4052	14535
109	4098	14529
110	4138	14501
111	4170	14448
112	4198	14377
113	4236	14343
114	4275	14314
115	4308	14263
116	4344	14223
117	4375	14164
118	4407	14112
119	4451	14095
120	4494	14076
121	4529	14034
122	4562	13982
123	4590	13919
124	4618	13855
125	4644	13785
126	4680	13746
127	4719	13716
128	4747	13654
129	4780	13605
130	4809	13547
131	4834	13478
132	4861	13413
133	4896	13373
134	4937	13348
135	4968	13296
136	4997	13242
137	5057	13267
138	5094	13230
139	5139	13216
140	5174	13174
141	5206	13125
142	5235	13069
143	5261	13007
144	5289	12949
145	5323	12907
146	5353	12854
147	5390	12819
148	5424	12778
149	5452	12723
150	5485	12677
151	5514	12626
152	5542	12569
153	5575	12526
154	5616	12500
155	5646	12450
156	5672	12393
157	5701	12341
158	5731	12291
159	5756	12232
160	5784	12180
161	5822	12148
162	5854	12104
163	5881	12049
164	5909	11998
165	5937	11947
166	5961	11886
167	5994	11845
168	6042	11835
169	6079	11802
170	6109	11754
171	6144	11717
172	6174	11671
173	6205	11627
174	6232	11574
175	6265	11535
176	6303	11502
177	6331	11453
178	6358	11402
179	6389	11359
180	6415	11307
181	6441	11254
182	6467	11203
183	6501	11165
184	6550	11153
185	6605	11151
186	6645	11123
187	6673	11074
188	6700	11026
189	6739	10996
190	6766	10946
191	6796	10902
192	6823	10854
193	6849	10803
194	6876	10755
195	6901	10705
196	6929	10657
197	6962	10619
198	6996	10581
199	7026	10539
200	7058	10499
201	7092	10463
202	7135	10439
203	7165	10397
204	7201	10363
205	7237	10329
206	7269	10290
207	7301	10250
208	7325	10199
209	7352	10152
210	7380	10108
211	7404	10058
212	7445	10032
213	7473	9987
214	7499	9941
215	7526	9896
216	7556	9855
217	7585	9812
218	7613	9768
219	7637	9720
220	7671	9684
221	7708	9652
222	7738	9612
223	7763	9565
224	7790	9522
225	7819	9479
226	7844	9434
227	7873	9392
228	7912	9363
229	7941	9323
230	7968	9279
231	7995	9236
232	8028	9199
233	8057	9159
234	8094	9128
235	8126	9090
236	8153	9047
237	8178	9003
238	8200	8955
239	8223	8908
240	8249	8865
241	8274	8821
242	8298	8776
243	8329	8739
244	8361	8703
245	8387	8660
246	8410	8614
247	8432	8568
248	8457	8524
249	8480	8480
250	8502	8434
251	8525	8389
252	8552	8349
253	8589	8319
254	8616	8278
255	8641	8236
256	8665	8193
257	8690	8151
258	8714	8109
259	8736	8064
260	8763	8024
261	8801	7995
262	8826	7953
263	8849	7910
264	8873	7869
265	8898	7827
266	8920	7784
267	8942	7741
268	8965	7698
269	8993	7661
270	9025	7626
271	9056	7591
272	9081	7551
273	9115	7518
274	9139	7478
275	9163	7437
276	9185	7395
277	9217	7361
278	9247	7325
279	9272	7285
280	9295	7244
281	9317	7202
282	9342	7163
283	9366	7123
284	9388	7082
285	9412	7042
286	9442	7008
287	9475	6974
288	9497	6933
289	9520	6894
290	9543	6854
291	9565	6813
292	9589	6774
293	9614	6736
294	9648	6704
295	9685	6675
296	9715	6640
297	9740	6602
298	9765	6564
299	9789	6526
300	9813	6487
301	9836	6449
302	9859	6410
303	9891	6377
304	9919	6342
305	9944	6304
306	9967	6266
307	9990	6227
308	10014	6190
309	10038	6152
310	10062	6115
311	10096	6083
312	10186	6085
313	10226	6057
314	10250	6020
315	10281	5986
316	10315	5954
317	10354	5926
318	10387	5893
319	10415	5858
320	10445	5824
321	10475	5790
322	10552	5782
323	10581	5747
324	10610	5713
325	10642	5680
326	10684	5652
327	10714	5618
328	10743	5584
329	10787	5557
330	10829	5529
331	10863	5496
332	10889	5461
333	10920	5427
334	10950	5393
335	10982	5360
336	11020	5330
337	11061	5301
338	11094	5268
339	11119	5232
340	11147	5197
341	11178	5164
342	11210	5131
343	11241	5097
344	11279	5067
345	11307	5032
346	11333	4997
347	11374	4968
348	11405	4934
349	11436	4901
350	11525	4892
351	11560	4860
352	11591	4826
353	11623	4794
354	11656	4761
355	11686	4727
356	11726	4697
357	11778	4671
358	11813	4639
359	11848	4607
360	11876	4573
361	11906	4539
362	11941	4506
363	11983	4477
364	12010	4442
365	12040	4408
366	12070	4374
367	12099	4340
368	12123	4304
369	12169	4275
370	12207	4244
371	12250	4215
372	12282	4181
373	12310	4147
374	12336	4112
375	12362	4076
376	12394	4043
377	12428	4011
378	12456	3976
379	12482	3941
380	12510	3907
381	12533	3871
382	12560	3836
383	12589	3803
384	12630	3772
385	12663	3739
386	12689	3705
387	12717	3671
388	12748	3637
389	12784	3605
390	12810	3571
391	12842	3538
392	12881	3507
393	12909	3473
394	12936	3438
395	12959	3403
396	12988	3369
397	13014	3335
398	13040	3300
399	13074	3268
400	13104	3235
401	13134	3201
402	13162	3168
403	13186	3133
404	13213	3099
405	13244	3066
406	13297	3038
407	13335	3006
408	13365	2973
409	13393	2940
410	13417	2905
411	13443	2871
412	13467	2837
413	13493	2802
414	13530	2771
415	13562	2738
416	13591	2705
417	13627	2673
418	13658	2640
419	13691	2607
420	13723	2575
421	13768	2544
422	13811	2514
423	13843	2481
424	13876	2448
425	13907	2415
426	13939	2383
427	13971	2350
428	14018	2320
429	14057	2288
430	14089	2255
431	14118	2222
432	14146	2189
433	14172	2155
434	14201	2122
435	14236	2089
436	14282	2059
437	14318	2026
438	14350	1994
439	14379	1960
440	14407	1927
441	14431	1893
442	14465	1861
443	14505	1829
444	14534	1796
445	14561	1763
446	14588	1729
447	14613	1696
448	14639	1662
449	14667	1629
450	14700	1597
451	14738	1565
452	14768	1532
453	14793	1498
454	14824	1466
455	14859	1433
456	14901	1402
457	14934	1369
458	14965	1336
459	15002	1304
460	15033	1271
461	15063	1238
462	15097	1206
463	15143	1174
464	15182	1142
465	15215	1110
466	15247	1077
467	15277	1044
468	15301	1011
469	15332	978
470	15384	947
471	15430	915
472	15462	882
473	15493	849
474	15517	816
475	15547	783
476	15575	751
477	15613	718
478	15655	686
479	15681	653
480	15709	620
481	15743	587
482	15775	555
483	15805	522
484	15841	489
485	15890	457
486	15919	424
487	15947	392
488	15975	359
489	16007	326
490	16032	293
491	16068	261
492	16105	228
493	16134	195
494	16161	163
495	16188	130
496	16212	97
497	16239	65
498	16265	32
499	16299	0
