iter	Passed	Remaining
0	141	13975
1	147	7212
2	152	4928
3	159	3819
4	165	3142
5	171	2686
6	177	2358
7	183	2109
8	189	1911
9	195	1755
10	200	1618
11	206	1512
12	211	1418
13	216	1331
14	223	1264
15	228	1198
16	233	1140
17	239	1089
18	244	1044
19	249	999
20	255	962
21	261	927
22	267	894
23	273	865
24	278	836
25	284	809
26	290	784
27	295	759
28	300	736
29	306	715
30	311	694
31	317	673
32	323	655
33	328	636
34	333	619
35	338	602
36	344	586
37	349	570
38	358	560
39	366	549
40	372	536
41	379	523
42	385	511
43	390	497
44	395	483
45	400	470
46	413	466
47	418	453
48	424	441
49	429	429
50	434	417
51	438	404
52	443	393
53	447	381
54	452	370
55	457	359
56	461	348
57	467	338
58	471	327
59	476	317
60	481	307
61	486	298
62	491	288
63	496	279
64	501	270
65	506	260
66	511	251
67	516	243
68	521	234
69	525	225
70	530	216
71	535	208
72	540	199
73	544	191
74	550	183
75	555	175
76	561	167
77	566	159
78	571	151
79	575	143
80	581	136
81	585	128
82	590	120
83	594	113
84	600	105
85	604	98
86	609	91
87	614	83
88	619	76
89	623	69
90	629	62
91	633	55
92	638	48
93	642	41
94	647	34
95	652	27
96	657	20
97	662	13
98	667	6
99	672	0
