iter	Logloss
0	0.5948669631
1	0.520023986
2	0.4617706105
3	0.4144424653
4	0.3787991072
5	0.3503492498
6	0.328576816
7	0.3106490239
8	0.2970833307
9	0.2859414559
10	0.2766495633
11	0.2689639403
12	0.2622548496
13	0.255772851
14	0.2516097009
15	0.2476438256
16	0.2445699824
17	0.2419927519
18	0.2385316588
19	0.2361533353
20	0.2341945526
21	0.2323892066
22	0.2304641656
23	0.2289699565
24	0.2275170559
25	0.2261057745
26	0.2243096485
27	0.2231522984
28	0.2215061868
29	0.2202685696
30	0.219398796
31	0.2184170977
32	0.2173802492
33	0.2163974115
34	0.2155653358
35	0.2147280201
36	0.2134855839
37	0.212720888
38	0.2119663911
39	0.2112367311
40	0.2102635329
41	0.2094183834
42	0.2086364654
43	0.2079737971
44	0.2073143504
45	0.2065378942
46	0.2055894607
47	0.2048478999
48	0.20394589
49	0.2034369189
50	0.202913087
51	0.2020754912
52	0.2015520028
53	0.2007813081
54	0.2002445794
55	0.1997622195
56	0.1992960033
57	0.1986386204
58	0.1981257298
59	0.1973690218
60	0.1966789226
61	0.1960992647
62	0.1953205511
63	0.194871076
64	0.1944437815
65	0.1937931223
66	0.1930412142
67	0.1926362801
68	0.1920952746
69	0.1917067098
70	0.1911026449
71	0.1907195237
72	0.190298086
73	0.1899522845
74	0.1895152708
75	0.1891748027
76	0.1888031531
77	0.1883916596
78	0.1879272299
79	0.1875310944
80	0.1871684248
81	0.1867937965
82	0.1864554784
83	0.1861327242
84	0.1856472474
85	0.1852595534
86	0.1849483002
87	0.1845396226
88	0.1842668493
89	0.183992752
90	0.1836933546
91	0.1833487589
92	0.1826922918
93	0.1822759632
94	0.1819925066
95	0.1816558435
96	0.1813317937
97	0.1810450754
98	0.1805274538
99	0.1801157004
100	0.1798643149
101	0.1796218885
102	0.1793220667
103	0.1790264632
104	0.1787365856
105	0.1783252802
106	0.1780314994
107	0.1777693442
108	0.1775167042
109	0.1771506645
110	0.1768505852
111	0.1764883573
112	0.1762265537
113	0.1759918642
114	0.1757363181
115	0.1754674563
116	0.1752496953
117	0.1748181879
118	0.1746004844
119	0.1742865462
120	0.1740181829
121	0.1737464519
122	0.1734343649
123	0.1730331338
124	0.1728311083
125	0.1725732081
126	0.17235201
127	0.172137993
128	0.1718889615
129	0.1714970544
130	0.1711814372
131	0.1706890708
132	0.1704661318
133	0.1702766006
134	0.1699130775
135	0.1696390782
136	0.1694584653
137	0.1691318325
138	0.1689330482
139	0.1686207897
140	0.1684335187
141	0.1682322698
142	0.1680210851
143	0.1678455688
144	0.1675101036
145	0.1673270218
146	0.1670955121
147	0.166890131
148	0.1667052633
149	0.1664494231
150	0.1662336606
151	0.1660468147
152	0.1658807355
153	0.165671443
154	0.1654621181
155	0.1652991857
156	0.1650954192
157	0.1649127789
158	0.1647579105
159	0.1645358093
160	0.1642839875
161	0.1641279706
162	0.1639443331
163	0.1637891051
164	0.16361806
165	0.1633275574
166	0.1631706087
167	0.1629966003
168	0.162758407
169	0.162625887
170	0.1624300779
171	0.1622965769
172	0.1620785588
173	0.1617774497
174	0.1615854662
175	0.1614034388
176	0.1609925585
177	0.1608274683
178	0.1606714596
179	0.1604089941
180	0.1602338944
181	0.1599253557
182	0.159680972
183	0.1594851468
184	0.1592893257
185	0.1591651392
186	0.1590123389
187	0.1588803461
188	0.1586161315
189	0.1584940907
190	0.1582896948
191	0.1579857294
192	0.1577015007
193	0.1575117857
194	0.1573308662
195	0.1571539233
196	0.1570228255
197	0.1568428132
198	0.1566767746
199	0.1565337506
200	0.1564092698
201	0.1562516999
202	0.1561252859
203	0.1559670742
204	0.155832061
205	0.1556927521
206	0.1555528383
207	0.1554205226
208	0.1552784426
209	0.1550803291
210	0.1549588115
211	0.1547951191
212	0.1546767158
213	0.1545372434
214	0.1544229558
215	0.154281963
216	0.1540684898
217	0.1539332189
218	0.1537644093
219	0.153643333
220	0.1535244801
221	0.1534125427
222	0.1532795319
223	0.1531307203
224	0.1529863638
225	0.1528065966
226	0.1526172252
227	0.1524905414
228	0.1522728056
229	0.1521518928
230	0.1520604195
231	0.1518731486
232	0.151743142
233	0.1516032404
234	0.1514876981
235	0.1514045011
236	0.1512792028
237	0.1511655855
238	0.1510285205
239	0.1508386991
240	0.1507388022
241	0.1506216088
242	0.1504922929
243	0.1503658747
244	0.1501764112
245	0.1500586047
246	0.1499364043
247	0.1497307334
248	0.1496219552
249	0.1494241807
250	0.1493028428
251	0.1492140139
252	0.1491098664
253	0.1489898241
254	0.1488738771
255	0.1487125021
256	0.1485550879
257	0.1484245061
258	0.1483100713
259	0.1482019389
260	0.1480390638
261	0.1479655246
262	0.1478840034
263	0.1477712116
264	0.1476129714
265	0.1475018513
266	0.1474302413
267	0.1473394913
268	0.1472166166
269	0.1470421549
