iter	Passed	Remaining
0	1944	3887247
1	3829	3825326
2	5637	3752639
3	7604	3794488
4	9783	3903445
5	11903	3955997
6	14257	4059347
7	16132	4017076
8	17902	3960380
9	19700	3920422
10	21808	3943411
11	24060	3985953
12	26355	4028383
13	28449	4035773
14	30222	3999455
15	32007	3968896
16	33790	3941550
17	35553	3914860
18	37485	3908307
19	39623	3922731
20	41646	3924714
21	43725	3931316
22	45699	3928195
23	47490	3910028
24	49265	3891974
25	51369	3900111
26	53413	3903148
27	55576	3914196
28	57732	3923805
29	59681	3919059
30	61456	3903495
31	63213	3887644
32	65207	3886741
33	67305	3891813
34	69404	3896566
35	71654	3909168
36	73707	3910500
37	75519	3899165
38	77258	3884703
39	78987	3870370
40	80878	3864434
41	82958	3867451
42	85025	3869634
43	87074	3870870
44	88970	3865253
45	90721	3853703
46	92594	3847607
47	94350	3836914
48	96265	3832928
49	98067	3824618
50	100140	3826922
51	102161	3827128
52	104198	3827833
53	106191	3826827
54	108012	3819708
55	109764	3810404
56	111501	3800834
57	113242	3791654
58	115026	3784189
59	117200	3789475
60	119220	3789657
61	121260	3790374
62	123321	3791640
63	125076	3783572
64	126925	3778479
65	128856	3775885
66	130785	3773258
67	132694	3770072
68	134768	3771552
69	136687	3768681
70	138963	3775496
71	140941	3774090
72	142734	3767798
73	144456	3759763
74	146217	3752921
75	147981	3746272
76	149707	3738791
77	151637	3736500
78	153642	3736039
79	155654	3735707
80	157755	3737447
81	159713	3735742
82	161449	3728909
83	163192	3722350
84	165002	3717400
85	166716	3710411
86	168500	3705071
87	170552	3705642
88	172564	3705295
89	174552	3704387
90	176605	3704831
91	178412	3700115
92	180741	3706170
93	182499	3700467
94	184255	3694799
95	186100	3690996
96	188189	3692000
97	190194	3691322
98	192403	3694527
99	194465	3694849
100	196199	3688943
101	197951	3683445
102	199854	3680822
103	201994	3682516
104	204086	3683283
105	206199	3684349
106	208393	3686809
107	210326	3684604
108	212101	3679661
109	213961	3676248
110	216026	3676346
111	218085	3676291
112	220116	3675755
113	222070	3673906
114	223846	3669139
115	225581	3663747
116	227340	3658821
117	229192	3655433
118	231145	3653653
119	233169	3652990
120	235178	3652067
121	237185	3651101
122	238961	3646591
123	240795	3642996
124	242679	3640188
125	244434	3635475
126	246177	3630634
127	248105	3628546
128	250208	3628995
129	252394	3630597
130	254411	3629732
131	256206	3625705
132	257989	3621551
133	259890	3619067
134	261922	3618414
135	264283	3622241
136	266420	3622931
137	268425	3621801
138	270167	3617138
139	271921	3612675
140	273825	3610225
141	275843	3609280
142	277887	3608644
143	279912	3607766
144	282060	3608428
145	283911	3605289
146	285631	3600512
147	287388	3596237
148	289389	3595031
149	291484	3594971
150	293445	3593250
151	295215	3589204
152	296922	3584423
153	298856	3582391
154	300775	3580204
155	302768	3578873
156	304917	3579387
157	307072	3579919
158	308773	3575171
159	310484	3570576
160	312261	3566767
161	314222	3565072
162	316221	3563799
163	318171	3561963
164	320077	3559652
165	322121	3558857
166	324070	3557010
167	325803	3552809
168	327553	3548821
169	329261	3544398
170	330982	3540161
171	332884	3537860
172	334862	3536380
173	336928	3535808
174	338946	3534731
175	340797	3531897
176	342561	3528186
177	344278	3524021
178	346059	3520527
179	347796	3516604
180	349575	3513132
181	351663	3512768
182	353679	3511673
183	355676	3510374
184	357594	3508287
185	359311	3504251
186	361004	3500003
187	362731	3496114
188	364437	3492045
189	366126	3487838
190	368092	3486278
191	370080	3484925
192	372120	3484049
193	374153	3483102
194	376023	3480626
195	377748	3476831
196	379481	3473126
197	381225	3469536
198	382979	3466064
199	384732	3462595
200	386710	3461156
201	388685	3459687
202	390699	3458556
203	392656	3456920
204	394379	3453223
205	396164	3450096
206	397893	3446486
207	399606	3442765
208	401361	3439419
209	403343	3438023
210	405311	3436502
211	407291	3435084
212	409341	3434236
213	411206	3431844
214	412937	3428343
215	414680	3424949
216	416397	3421370
217	418112	3417779
218	419897	3414785
219	421884	3413429
220	423946	3412674
221	425990	3411760
222	428008	3410632
223	429980	3409131
224	431923	3407400
225	433663	3404069
226	435556	3401942
227	437592	3400938
228	439591	3399638
229	441626	3398607
230	443505	3396368
231	445200	3392731
232	446926	3389355
233	448617	3385721
234	450340	3382341
235	452080	3379107
236	454072	3377763
237	456046	3376280
238	457998	3374624
239	460047	3373678
240	461912	3371387
241	463644	3368130
242	465375	3364877
243	467090	3361520
244	468870	3358647
245	470801	3356851
246	472817	3355661
247	474926	3355127
248	476901	3353635
249	478680	3350762
250	480404	3347520
251	482124	3344263
252	483822	3340863
253	485545	3337647
254	487379	3335206
255	489361	3333777
256	491420	3332864
257	493423	3331567
258	495346	3329723
259	497080	3326616
260	498958	3324480
261	500899	3322763
262	502940	3321699
263	504937	3320347
264	506981	3319293
265	509094	3318685
266	510819	3315541
267	512541	3312394
268	514310	3309556
269	516508	3309482
270	518466	3307857
271	520461	3306459
272	522432	3304909
273	524222	3302217
274	525943	3299097
275	527861	3297221
276	529861	3295851
277	531948	3295022
278	533950	3293651
279	536058	3292928
280	537933	3290776
281	540137	3290623
282	541888	3287715
283	543956	3286724
284	545996	3285559
285	548121	3284896
286	550125	3283502
287	552127	3282089
288	553949	3279613
289	555726	3276871
290	557746	3275562
291	559737	3274078
292	561747	3272705
293	563795	3271545
294	565583	3268882
295	567284	3265719
296	569196	3263779
297	571111	3261850
298	572932	3259392
299	574973	3258183
300	577007	3256928
301	579115	3256089
302	581131	3254722
303	583041	3252759
304	584780	3249847
305	586661	3247727
306	588706	3246514
307	590709	3245066
308	592715	3243631
309	594856	3242928
310	597985	3247581
311	600515	3248940
312	603103	3250590
313	605748	3252519
314	608296	3253901
315	610133	3251470
316	611844	3248373
317	613634	3245699
318	615334	3242562
319	617062	3239576
320	618795	3236626
321	620833	3235276
322	622975	3234459
323	625192	3234022
324	627130	3232132
325	628864	3229201
326	630613	3226349
327	632381	3223602
328	634105	3220636
329	635852	3217796
330	637831	3216134
331	639797	3214405
332	641777	3212744
333	643696	3210772
334	645558	3208520
335	647255	3205453
336	648990	3202583
337	651004	3201094
338	652991	3199467
339	655027	3198075
340	657049	3196613
341	659094	3195258
342	660813	3192328
343	662565	3189560
344	664567	3187995
345	666662	3186878
346	668786	3185890
347	670757	3184170
348	672659	3182121
349	674597	3180244
350	676543	3178405
351	678528	3176744
352	680472	3174894
353	682553	3173682
354	684313	3170975
355	686026	3168053
356	687730	3165099
357	689589	3162865
358	691617	3161403
359	693590	3159689
360	695612	3158196
361	697552	3156326
362	699305	3153618
363	701066	3150947
364	702761	3147987
365	704458	3145042
366	706300	3142748
367	708343	3141348
368	710281	3139480
369	712257	3137783
370	714224	3136043
371	715948	3133237
372	717662	3130395
373	719408	3127694
374	721144	3124960
375	722877	3122216
376	724761	3120128
377	726739	3118443
378	728708	3116717
379	730673	3114978
380	732582	3112995
381	734393	3110599
382	736102	3107772
383	737796	3104893
384	739514	3102119
385	741573	3100774
386	743536	3099029
387	745517	3097357
388	747500	3095691
389	749309	3093304
390	751038	3090590
391	752791	3087981
392	754493	3085170
393	756204	3082395
394	757970	3079856
395	759969	3078260
396	761956	3076615
397	763967	3075065
398	765978	3073513
399	767699	3070796
400	769403	3068022
401	771111	3065265
402	772811	3062482
403	774589	3060010
404	776483	3058002
405	778484	3056415
406	780482	3054812
407	782440	3053053
408	784419	3051373
409	786215	3048980
410	787922	3046250
411	789649	3043602
412	791353	3040868
413	793136	3038441
414	795074	3036609
415	797056	3034944
416	799057	3033353
417	801064	3031781
418	803076	3030223
419	804962	3028191
420	806687	3025556
421	808419	3022953
422	810506	3021674
423	812467	3019926
424	814480	3018367
425	816611	3017245
426	818515	3015282
427	820211	3012553
428	821938	3009944
429	823735	3007592
430	825741	3006005
431	827680	3004172
432	829644	3002430
433	831642	3000809
434	833349	2998143
435	835134	2995758
436	836934	2993430
437	838690	2990947
438	840423	2988386
439	842389	2986655
440	844415	2985134
441	846426	2983559
442	848449	2982022
443	850647	2981096
444	852429	2978713
445	854157	2976143
446	855863	2973501
447	857563	2970845
448	859426	2968754
449	861396	2967031
450	863331	2965188
451	865291	2963432
452	867203	2961510
453	868955	2959042
454	870657	2956406
455	872443	2954063
456	874440	2952431
457	876482	2950950
458	878451	2949222
459	880533	2947871
460	882272	2945373
461	883970	2942740
462	885652	2940060
463	887467	2937824
464	889413	2936022
465	891429	2934447
466	893393	2932703
467	895398	2931091
468	897124	2928566
469	898830	2925979
470	900529	2923374
471	902210	2920714
472	904000	2918412
473	905955	2916641
474	907894	2914820
475	909884	2913159
476	911998	2911895
477	913891	2909923
478	915583	2907312
479	917324	2904859
480	919027	2902293
481	921027	2900662
482	923301	2899892
483	925251	2898102
484	927521	2897310
485	929311	2895017
486	931058	2892591
487	933028	2890857
488	934980	2889070
489	937033	2887592
490	939079	2886092
491	941153	2884674
492	942951	2882409
493	944692	2879973
494	946439	2877559
495	948422	2875862
496	950468	2874355
497	952517	2872853
498	954316	2870599
499	956028	2868085
500	957867	2865954
501	959844	2864237
502	961868	2862657
503	963816	2860852
504	965889	2859414
505	967637	2857016
506	969327	2854449
507	971049	2851980
508	973018	2850237
509	974962	2848420
510	977032	2846970
511	979041	2845340
512	980931	2843361
513	982641	2840865
514	984365	2838413
515	986055	2835864
516	987743	2833315
517	989494	2830948
518	991456	2829186
519	993440	2827485
520	995540	2826111
521	997579	2824563
522	999315	2822157
523	1001038	2819719
524	1002747	2817244
525	1004443	2814733
526	1006200	2812397
527	1008619	2811909
528	1010558	2810077
529	1012535	2808352
530	1014539	2806701
531	1016418	2804704
532	1018121	2802222
533	1019868	2799863
534	1021607	2797486
535	1023376	2795193
536	1025317	2793370
537	1027325	2791727
538	1029275	2789928
539	1031244	2788179
540	1033296	2786653
541	1035027	2784260
542	1036783	2781940
543	1038531	2779599
544	1040509	2777874
545	1042522	2776242
546	1044470	2774433
547	1046471	2772768
548	1048262	2770545
549	1049960	2768077
550	1051662	2765623
551	1053394	2763253
552	1055088	2760781
553	1056833	2758449
554	1058880	2756904
555	1060835	2755119
556	1062812	2753391
557	1064802	2751693
558	1066525	2749307
559	1068217	2746845
560	1069932	2744444
561	1071642	2742032
562	1073352	2739621
563	1075324	2737883
564	1077341	2736257
565	1079368	2734655
566	1081389	2733035
567	1083293	2731120
568	1085052	2728839
569	1086759	2726432
570	1088467	2724028
571	1090163	2721596
572	1091963	2719428
573	1093891	2717576
574	1095872	2715858
575	1097930	2714327
576	1099893	2712561
577	1101761	2710561
578	1103507	2708262
579	1105220	2705883
580	1106941	2703527
581	1108644	2701131
582	1110403	2698870
583	1112489	2697405
584	1114552	2695882
585	1116601	2694325
586	1118737	2692975
587	1120482	2690682
588	1122199	2688325
589	1123960	2686074
590	1125656	2683671
591	1127375	2681325
592	1129190	2679210
593	1131209	2677576
594	1133194	2675863
595	1135240	2674290
596	1137157	2672415
597	1138889	2670105
598	1140590	2667725
599	1142306	2665382
600	1144148	2663333
601	1146237	2661859
602	1148178	2660042
603	1150134	2658256
604	1152288	2656928
605	1154173	2654980
606	1155885	2652634
607	1157619	2650340
608	1159479	2648335
609	1161440	2646561
610	1163414	2644815
611	1165395	2643086
612	1167359	2641317
613	1169073	2638982
614	1170781	2636638
615	1172484	2634284
616	1174174	2631902
617	1175887	2629572
618	1177802	2627698
619	1179833	2626081
620	1181832	2624390
621	1183827	2622692
622	1185750	2620831
623	1187456	2618494
624	1189165	2616164
625	1190860	2613804
626	1192580	2611504
627	1194320	2609249
628	1196303	2607522
629	1198306	2605841
630	1200265	2604061
631	1202262	2602366
632	1203957	2600014
633	1205741	2597859
634	1207480	2595607
635	1209462	2593879
636	1211520	2592310
637	1213425	2590415
638	1215377	2588620
639	1217424	2587027
640	1219380	2585239
641	1221105	2582960
642	1223114	2581285
643	1224847	2579026
644	1226574	2576756
645	1228263	2574410
646	1230126	2572428
647	1232091	2570660
648	1234060	2568898
649	1236029	2567139
650	1237984	2565348
651	1239735	2563133
652	1241465	2560879
653	1243169	2558572
654	1244904	2556330
655	1246639	2554090
656	1248547	2552206
657	1250473	2550357
658	1252430	2548572
659	1254424	2546860
660	1256381	2545075
661	1258100	2542807
662	1259821	2540544
663	1261555	2538310
664	1263348	2536196
665	1265265	2534331
666	1267227	2532554
667	1269188	2530776
668	1271160	2529019
669	1273378	2527750
670	1275087	2525472
671	1276858	2523315
672	1278651	2521204
673	1280596	2519392
674	1282639	2517773
675	1284690	2516169
676	1286646	2514376
677	1288737	2512848
678	1290503	2510685
679	1292193	2508376
680	1294108	2506503
681	1296102	2504784
682	1298134	2503138
683	1300186	2501527
684	1301958	2499380
685	1303667	2497111
686	1305368	2494830
687	1307073	2492558
688	1308876	2490475
689	1310881	2488774
690	1312844	2486993
691	1314831	2485259
692	1316700	2483301
693	1318420	2481061
694	1320143	2478831
695	1321869	2476606
696	1323578	2474352
697	1325309	2472138
698	1327193	2470212
699	1329200	2468514
700	1331270	2466934
701	1333201	2465093
702	1334983	2462978
703	1336691	2460727
