iter	RMSE
0	0.2167443536
1	0.2160154457
2	0.215396356
3	0.214847133
4	0.2143475939
5	0.2140774515
6	0.2137350544
7	0.2133471553
8	0.2129535141
9	0.2127163457
10	0.2123495447
11	0.2120888443
12	0.2118440713
13	0.2116142271
14	0.2113659517
15	0.2111616939
16	0.2109279215
17	0.2107458221
18	0.2105204633
19	0.2103085264
20	0.2101079887
21	0.2099768273
22	0.2097986324
23	0.209667377
24	0.2095411807
25	0.209379396
26	0.2092148475
27	0.2090454875
28	0.208891328
29	0.2087646485
30	0.2086297631
31	0.2084775782
32	0.2083012268
33	0.2081725491
34	0.2080529663
35	0.2079318693
36	0.2078438873
37	0.2077642669
38	0.2075971313
39	0.2074233748
40	0.207306466
41	0.2071906238
42	0.2070796085
43	0.2069481575
44	0.2068024531
45	0.2066313607
46	0.206516953
47	0.2064029228
48	0.2063126068
49	0.2062165742
50	0.2060513749
51	0.2059851254
52	0.2058281852
53	0.2057698869
54	0.2056471597
55	0.2055469807
56	0.2054041348
57	0.2052702931
58	0.205142828
59	0.204996658
60	0.2048854573
61	0.2047806574
62	0.2046144138
63	0.2045088451
64	0.2043821327
65	0.2043138507
66	0.204183392
67	0.2041039871
68	0.2040052068
69	0.2039288046
70	0.2038446095
71	0.2037263479
72	0.2036082735
73	0.2034538338
74	0.2034004495
75	0.2032402624
76	0.203137626
77	0.2030616096
78	0.202971839
79	0.2028901036
80	0.2027739796
81	0.2026740985
82	0.202595412
83	0.2025419894
84	0.202374381
85	0.2022515548
86	0.2020719632
87	0.2019247927
88	0.201762926
89	0.2016729951
90	0.2015620432
91	0.2014048054
92	0.2013220534
93	0.20126287
94	0.2011482175
95	0.2010152539
96	0.2008798285
97	0.2007781213
98	0.2007042079
99	0.2006619275
100	0.2004957908
101	0.2003669362
102	0.2002787709
103	0.2001879705
104	0.200081014
105	0.1999585879
106	0.1998668095
107	0.1997257012
108	0.199600336
109	0.1994947797
110	0.1993981457
111	0.1992490117
112	0.1990828228
113	0.198993442
114	0.1989106411
115	0.1987247032
116	0.19858492
117	0.198408854
118	0.1982606363
119	0.1980842597
120	0.1979490494
121	0.1978410571
122	0.1976629887
123	0.1974561558
124	0.1973260702
125	0.1971571997
126	0.1970454738
127	0.1969145214
128	0.1968903771
129	0.1967204365
130	0.1966361008
131	0.1965106024
132	0.1963345865
133	0.1962608054
134	0.1961480465
135	0.1960484743
136	0.1959438181
137	0.1958365311
138	0.1957238106
139	0.1956286539
140	0.1955367825
141	0.195357908
142	0.1952223082
143	0.1951319768
144	0.1950003951
145	0.1949168284
146	0.1947954368
147	0.1946500794
148	0.1945202096
149	0.1944006729
150	0.1942969745
151	0.1941209192
152	0.1939963028
153	0.1939218664
154	0.1937569253
155	0.1936316954
156	0.1935060039
157	0.1934121179
158	0.1933178563
159	0.193241242
160	0.193077747
161	0.1929412891
162	0.1928258981
163	0.1927026824
164	0.1926076745
165	0.1925251297
166	0.1924267812
167	0.192346499
168	0.1922594377
169	0.1922109464
170	0.1921341809
171	0.1919725063
172	0.1918872794
173	0.1918402761
174	0.1917651194
175	0.191628306
176	0.1915240888
177	0.1914471949
178	0.1912805054
179	0.1911868102
180	0.1910725386
181	0.1910146107
182	0.1909081413
183	0.1908290886
184	0.1907358855
185	0.1905988519
186	0.1904957755
187	0.1904227601
188	0.1903611761
189	0.1902581192
190	0.1901179092
191	0.1900382421
192	0.1899351459
193	0.1898391315
194	0.189735698
195	0.1896826484
196	0.1895982037
197	0.1894564261
198	0.1893816404
199	0.1893182414
200	0.1892180913
201	0.1891727559
202	0.1890903458
203	0.189003764
204	0.1888884264
205	0.1888205922
206	0.1887498691
207	0.1886551165
208	0.1885690247
209	0.188426463
210	0.1883604458
211	0.1882745551
212	0.1881713249
213	0.1880859411
214	0.1880006683
215	0.1879345698
216	0.1878518918
217	0.1877818345
218	0.1876939026
219	0.1876100098
220	0.1875144371
221	0.1874152641
222	0.1873056418
223	0.1871987013
224	0.1871426545
225	0.1870303858
226	0.1869243197
227	0.1868714847
228	0.1868124236
229	0.1867487718
230	0.1866827742
231	0.1866056206
232	0.1864950056
233	0.1864004831
234	0.1863253267
235	0.1862190166
236	0.1861390293
237	0.1860738757
238	0.1859727612
239	0.1858566619
240	0.1857448913
241	0.1856123011
242	0.185509918
243	0.1854142592
244	0.18531881
245	0.1852635853
246	0.1851464182
247	0.1849935877
248	0.1848997913
249	0.184833304
250	0.1847355942
251	0.1847100314
252	0.1846272667
253	0.1845836501
254	0.1844580848
255	0.1843371444
256	0.1842496213
257	0.1841450042
258	0.1840589987
259	0.1839928632
260	0.1839337993
261	0.1838400629
262	0.1837790622
263	0.1837158236
264	0.1836599544
265	0.1835782793
266	0.1835226663
267	0.1834310216
268	0.1833461688
269	0.1832516344
270	0.1831914778
271	0.1830963316
272	0.1830814395
273	0.1830142141
274	0.182967148
275	0.1829031952
276	0.1828390061
277	0.1827261407
278	0.1826534351
279	0.1825366624
280	0.1825008132
281	0.1824252937
282	0.1823576803
283	0.1822705332
284	0.1822177531
285	0.1821558949
286	0.1820934965
287	0.1820343833
288	0.1819604956
289	0.181836647
290	0.1817555558
291	0.1816970019
292	0.1816628238
293	0.181593061
294	0.1815426412
295	0.1814779901
296	0.1813869795
297	0.1813558612
298	0.1811934145
299	0.1810969075
300	0.1810202764
301	0.1809969699
302	0.1809248841
303	0.1808545169
304	0.1807797735
305	0.1807075211
306	0.1806777544
307	0.1806550256
308	0.1805875092
309	0.1805002858
310	0.180437112
311	0.1803553264
312	0.1802593232
313	0.1801994251
314	0.1801141854
315	0.1800313381
316	0.1799651732
317	0.1799008308
318	0.1797814907
319	0.1797307988
320	0.1796729447
321	0.1795421778
322	0.1794789331
323	0.1794020525
324	0.1793833001
325	0.1792800287
326	0.1792291652
