iter	Passed	Remaining
0	243	243312
1	331	165468
2	412	136935
3	503	125481
4	602	119947
5	695	115258
6	785	111392
7	871	108088
8	954	105147
9	1042	103204
10	1151	103505
11	1256	103434
12	1387	105351
13	1479	104195
14	1563	102687
15	1655	101799
16	1738	100548
17	1822	99428
18	1909	98603
19	2004	98237
20	2099	97897
21	2188	97282
22	2276	96688
23	2356	95848
24	2437	95048
25	2521	94468
26	2622	94508
27	2725	94621
28	2810	94102
29	2889	93431
30	2979	93128
31	3068	92821
32	3154	92449
33	3238	92003
34	3320	91559
35	3402	91103
36	3479	90567
37	3568	90340
38	3656	90101
39	3741	89792
40	3830	89606
41	3919	89395
42	4011	89269
43	4105	89209
44	4194	89023
45	4282	88818
46	4374	88692
47	4463	88532
48	4563	88561
49	4654	88430
50	4752	88440
51	4847	88374
52	4934	88167
53	5021	87963
54	5101	87654
55	5184	87390
56	5266	87132
57	5349	86879
58	5439	86751
59	5533	86686
60	5646	86914
61	5785	87531
62	5906	87854
63	5996	87697
64	6082	87500
65	6182	87486
66	6273	87354
67	6362	87205
68	6448	87010
69	6541	86908
70	6627	86715
71	6725	86680
72	6821	86617
73	6908	86445
74	6999	86331
75	7083	86124
76	7175	86018
77	7259	85812
78	7347	85663
79	7440	85567
80	7535	85496
81	7631	85433
82	7725	85351
83	7814	85210
84	7902	85072
85	7987	84886
86	8079	84783
87	8173	84703
88	8263	84585
89	8358	84516
90	8448	84387
91	8543	84316
92	8639	84255
93	8742	84258
94	8836	84179
95	8926	84054
96	9017	83946
97	9116	83905
98	9211	83830
99	9296	83672
100	9389	83572
101	9475	83422
102	9558	83242
103	9643	83083
104	9733	82969
105	9815	82787
106	9902	82643
107	10003	82625
108	10108	82627
109	10208	82592
110	10352	82914
111	10448	82843
112	10543	82758
113	10642	82716
114	10737	82628
115	10825	82500
116	10915	82376
117	11004	82250
118	11087	82081
119	11174	81943
120	11258	81785
121	11340	81615
122	11426	81473
123	11514	81344
124	11593	81156
125	11682	81034
126	11763	80864
127	11846	80704
128	11929	80545
129	12013	80400
130	12101	80277
131	12195	80195
132	12283	80073
133	12373	79968
134	12464	79862
135	12548	79716
136	12638	79614
137	12733	79539
138	12834	79498
139	12927	79414
140	13025	79354
141	13121	79286
142	13205	79140
143	13294	79026
144	13382	78910
145	13462	78744
146	13550	78628
147	13640	78523
148	13723	78381
149	13808	78246
150	13890	78096
151	13980	77993
152	14063	77855
153	14153	77753
154	14237	77618
155	14322	77488
156	14402	77331
157	14484	77187
158	14570	77068
159	14652	76924
160	14735	76790
161	14831	76722
162	14927	76651
163	15023	76582
164	15109	76461
165	15199	76365
166	15282	76229
167	15377	76155
168	15495	76194
169	15574	76041
170	15657	75906
171	15747	75805
172	15835	75700
173	15916	75555
174	15995	75408
175	16073	75251
176	16158	75132
177	16240	74997
178	16329	74898
179	16420	74803
180	16507	74694
181	16589	74559
182	16673	74438
183	16756	74311
184	16836	74171
185	16930	74095
186	17024	74014
187	17107	73891
188	17189	73760
189	17278	73660
190	17363	73543
191	17446	73419
192	17531	73303
193	17616	73188
194	17699	73067
195	17800	73017
196	17886	72908
197	17988	72862
198	18088	72806
199	18172	72690
200	18262	72596
201	18346	72479
202	18435	72378
203	18526	72290
204	18614	72186
205	18703	72090
206	18801	72025
207	18900	71967
208	19003	71921
209	19103	71864
210	19197	71785
211	19288	71693
212	19376	71593
213	19454	71456
214	19541	71347
215	19627	71242
216	19712	71127
217	19799	71023
218	19881	70901
219	19961	70772
220	20042	70648
221	20151	70621
222	20265	70609
223	20360	70535
224	20447	70430
225	20541	70350
226	20631	70257
227	20719	70154
228	20802	70038
229	20897	69961
230	20982	69849
231	21068	69744
232	21162	69663
233	21261	69599
234	21356	69522
235	21442	69414
236	21523	69293
237	21600	69159
238	21680	69033
239	21765	68923
240	21852	68821
241	21940	68721
242	22022	68605
243	22109	68502
244	22191	68387
245	22279	68288
246	22367	68189
247	22453	68086
248	22544	67994
249	22626	67878
250	22709	67766
251	22799	67673
252	22897	67605
253	22980	67492
254	23089	67457
255	23180	67369
256	23263	67255
257	23346	67143
258	23426	67022
259	23507	66906
260	23587	66785
261	23670	66673
262	23749	66553
263	23833	66444
264	23915	66331
265	23996	66215
266	24075	66095
267	24159	65989
268	24244	65884
269	24331	65785
270	24410	65664
271	24494	65557
272	24575	65445
273	24655	65327
274	24756	65267
275	24863	65222
276	24945	65110
277	25037	65024
278	25138	64964
279	25222	64858
280	25304	64745
281	25385	64633
282	25467	64523
283	25555	64427
284	25641	64328
285	25720	64210
286	25812	64126
287	25905	64043
288	25988	63936
289	26074	63836
290	26167	63753
291	26248	63643
292	26335	63546
293	26422	63449
294	26504	63340
295	26588	63238
296	26672	63134
297	26754	63025
298	26839	62925
299	26926	62828
300	27017	62741
301	27116	62674
302	27211	62595
303	27300	62503
304	27402	62441
305	27490	62347
306	27583	62264
307	27669	62166
308	27767	62095
309	27855	62001
310	27940	61899
311	28023	61795
312	28109	61696
313	28203	61616
314	28288	61517
315	28380	61431
316	28460	61321
317	28545	61219
318	28638	61137
319	28779	61156
320	28864	61055
321	28961	60981
322	29053	60896
323	29156	60832
324	29235	60719
325	29325	60629
326	29407	60523
327	29485	60409
328	29566	60302
329	29655	60210
330	29735	60099
331	29823	60005
332	29914	59918
333	30003	59827
334	30088	59727
335	30169	59619
336	30252	59517
337	30339	59422
338	30422	59319
339	30501	59209
340	30579	59095
341	30661	58991
342	30737	58876
343	30818	58769
344	30897	58659
345	30982	58562
346	31075	58479
347	31165	58390
348	31251	58293
349	31327	58179
350	31414	58085
351	31495	57980
352	31572	57867
353	31652	57760
354	31732	57654
355	31816	57555
356	31941	57529
357	32062	57498
358	32148	57401
359	32235	57307
360	32316	57202
361	32395	57095
362	32481	56998
363	32580	56925
364	32682	56858
365	32771	56768
366	32854	56666
367	32934	56561
368	33017	56460
369	33113	56381
370	33210	56306
371	33297	56211
372	33381	56112
373	33461	56008
374	33540	55900
375	33624	55802
376	33767	55801
377	33860	55718
378	33945	55620
379	34032	55527
380	34128	55448
381	34220	55361
382	34306	55265
383	34391	55169
384	34476	55072
385	34562	54977
386	34656	54894
387	34755	54820
388	34836	54717
389	34960	54681
390	35042	54580
391	35145	54511
392	35242	54433
393	35322	54329
394	35408	54233
395	35493	54136
396	35584	54048
397	35680	53968
398	35765	53872
399	35842	53764
400	35925	53664
401	36008	53564
402	36096	53472
403	36185	53382
404	36275	53293
405	36358	53194
406	36440	53094
407	36532	53008
408	36614	52907
409	36696	52806
410	36776	52703
411	36853	52597
412	36938	52501
413	37028	52412
414	37120	52326
415	37212	52240
416	37293	52138
417	37373	52036
418	37458	51941
419	37545	51848
420	37644	51772
421	37737	51687
422	37831	51604
423	37923	51518
424	38011	51427
425	38106	51345
426	38192	51251
427	38273	51150
428	38357	51053
429	38445	50962
430	38533	50870
431	38627	50787
432	38724	50708
433	38813	50618
434	38908	50536
435	38992	50440
436	39089	50359
437	39222	50326
438	39310	50234
439	39390	50133
440	39492	50060
441	39592	49983
442	39676	49886
443	39772	49805
444	39856	49708
445	39947	49621
446	40042	49538
447	40161	49484
448	40249	49393
449	40342	49307
450	40428	49212
451	40515	49120
452	40601	49026
453	40691	48937
454	40774	48840
455	40861	48747
456	40954	48661
457	41034	48559
458	41131	48479
459	41219	48388
460	41309	48298
461	41399	48209
462	41488	48119
463	41573	48024
464	41659	47930
465	41750	47842
466	41842	47755
467	41942	47678
468	42027	47583
469	42112	47488
470	42200	47397
471	42284	47301
472	42369	47206
473	42454	47112
474	42544	47022
475	42625	46924
476	42712	46831
477	42790	46729
478	42870	46629
479	42948	46527
480	43030	46429
481	43124	46345
482	43266	46311
483	43346	46212
484	43423	46109
485	43502	46009
486	43589	45916
487	43669	45817
488	43754	45722
489	43832	45621
490	43912	45522
491	43990	45421
492	44068	45319
493	44151	45224
494	44238	45132
495	44317	45032
496	44399	44935
497	44480	44837
498	44574	44752
499	44665	44665
500	44752	44573
501	44831	44474
502	44914	44378
503	45000	44285
504	45088	44195
505	45177	44106
506	45269	44019
507	45363	43935
508	45450	43843
509	45551	43764
510	45636	43672
511	45727	43583
512	45819	43497
513	45905	43404
514	45988	43309
515	46082	43224
516	46164	43128
517	46250	43035
518	46340	42947
519	46424	42853
520	46512	42763
521	46597	42669
522	46682	42576
523	46761	42478
524	46851	42389
525	46942	42301
526	47030	42211
527	47118	42121
528	47206	42030
529	47295	41941
530	47390	41857
531	47483	41771
532	47581	41689
533	47695	41621
534	47782	41530
535	47876	41445
536	48016	41399
537	48112	41316
538	48222	41244
539	48325	41165
540	48425	41085
541	48516	40997
542	48613	40913
543	48703	40825
544	48794	40736
545	48891	40653
546	48976	40559
547	49070	40474
548	49175	40396
549	49262	40306
550	49347	40212
551	49441	40126
552	49532	40038
553	49631	39956
554	49738	39880
555	49836	39797
556	49928	39709
557	50011	39615
558	50097	39522
559	50185	39431
560	50273	39340
