iter	MAE
0	8.071362119
1	7.987241263
2	7.928999925
3	7.846729238
4	7.779471198
5	7.712967838
6	7.640409831
7	7.569618749
8	7.487741687
9	7.429465584
10	7.373892704
11	7.316906522
12	7.260315042
13	7.214452209
14	7.157269606
15	7.106831267
16	7.060574695
17	7.011593661
18	6.9682126
19	6.939074008
20	6.88950182
21	6.846027421
22	6.805095565
23	6.76575631
24	6.725502185
25	6.679151277
26	6.644559014
27	6.620815787
28	6.590488587
29	6.559185582
30	6.525396881
31	6.496852985
32	6.465563996
33	6.429013203
34	6.397483219
35	6.365867858
36	6.342859085
37	6.319947808
38	6.303640841
39	6.275878662
40	6.256103525
41	6.229774551
42	6.200831232
43	6.172669271
44	6.157499943
45	6.135102961
46	6.118061139
47	6.093303436
48	6.06979201
49	6.047043223
50	6.034847596
51	6.016083052
52	5.99131483
53	5.969702994
54	5.944600384
55	5.923076575
56	5.904750133
57	5.895319493
58	5.884871038
59	5.868184395
60	5.855840682
61	5.840281582
62	5.827356042
63	5.807060046
64	5.791574313
65	5.775268302
66	5.766850875
67	5.752004921
68	5.742543764
69	5.728341159
70	5.710207091
71	5.698836149
72	5.687623627
73	5.673214949
74	5.661292335
75	5.652704836
76	5.639940161
77	5.626691563
78	5.616233842
79	5.604292304
80	5.583973568
81	5.573738132
82	5.565046468
83	5.550834791
84	5.538009146
85	5.527168767
86	5.520166628
87	5.502720547
88	5.491616747
89	5.481073942
90	5.464088631
91	5.44781431
92	5.434218863
93	5.422544217
94	5.411016638
95	5.400945178
96	5.395061493
97	5.388280493
98	5.376282018
99	5.36049201
100	5.346672492
101	5.336596186
102	5.321482466
103	5.312731317
104	5.302432183
105	5.29397716
106	5.28208834
107	5.273018108
108	5.262083746
109	5.250319129
110	5.24086661
111	5.232105194
112	5.216481748
113	5.20746529
114	5.197827615
115	5.185556196
116	5.174587878
117	5.162409095
118	5.155494376
119	5.145319091
120	5.135373618
121	5.121564133
122	5.11474741
123	5.100994919
124	5.093351217
125	5.088813398
126	5.077593508
