iter	Passed	Remaining
0	145	145351
1	149	74835
2	154	51204
3	158	39356
4	162	32432
5	166	27653
6	170	24232
7	175	21754
8	179	19790
9	183	18182
10	187	16885
11	192	15835
12	196	14905
13	200	14097
14	204	13411
15	208	12849
16	213	12337
17	217	11855
18	221	11416
19	226	11088
20	230	10736
21	234	10415
22	238	10130
23	243	9896
24	247	9639
25	250	9399
26	255	9190
27	259	9004
28	263	8807
29	267	8651
30	272	8502
31	276	8354
32	279	8204
33	283	8067
34	288	7945
35	292	7839
36	296	7727
37	300	7613
38	304	7511
39	309	7418
40	312	7318
41	316	7223
42	320	7140
43	325	7069
44	329	7000
45	334	6931
46	339	6875
47	343	6809
48	347	6745
49	352	6695
50	357	6655
51	362	6603
52	367	6570
53	375	6579
54	379	6524
55	383	6464
56	388	6422
57	391	6366
58	394	6291
59	398	6242
60	403	6206
61	407	6161
62	411	6113
63	414	6068
64	419	6038
65	423	5999
66	427	5959
67	431	5917
68	437	5896
69	440	5857
70	445	5823
71	448	5786
72	453	5753
73	456	5715
74	460	5679
75	464	5641
76	468	5611
77	471	5579
78	475	5545
79	479	5509
80	484	5491
81	487	5456
82	491	5427
83	494	5395
84	498	5367
85	502	5341
86	505	5309
87	509	5278
88	512	5248
89	516	5227
90	521	5204
91	524	5178
92	528	5151
93	532	5136
94	536	5114
95	540	5087
96	543	5060
97	547	5039
98	552	5025
99	556	5007
100	560	4992
101	565	4976
102	568	4952
103	571	4927
104	575	4904
105	578	4880
106	582	4863
107	586	4840
108	589	4818
109	593	4798
110	597	4787
111	601	4767
112	604	4746
113	608	4733
114	625	4810
115	631	4813
116	638	4817
117	643	4807
118	649	4809
119	655	4807
120	660	4798
121	665	4788
122	669	4771
123	673	4755
124	677	4741
125	680	4720
126	683	4701
127	687	4681
128	690	4663
129	695	4652
130	698	4634
131	701	4616
132	705	4597
133	709	4587
134	713	4573
135	717	4556
136	720	4538
137	723	4520
138	728	4510
139	731	4493
140	735	4477
141	738	4461
142	743	4454
143	746	4438
144	749	4422
145	753	4407
146	788	4573
147	793	4569
148	797	4554
149	801	4539
150	804	4523
151	809	4513
152	812	4497
153	815	4481
154	819	4469
155	824	4461
156	828	4446
157	831	4431
158	835	4419
159	839	4407
160	843	4394
161	846	4379
162	850	4365
163	853	4350
164	857	4339
165	861	4326
166	864	4312
167	867	4298
168	871	4287
169	875	4274
170	878	4261
171	882	4247
172	885	4234
173	889	4223
174	893	4211
175	896	4198
